clean_date,hour,pm 2.5 (Plume AQI),pm 10 (Plume AQI)
2020-02-13,10,13.0,18.4
2020-02-13,11,14.9,18.3
2020-02-13,12,14.9,17.3
2020-02-13,13,15.0,16.7
2020-02-13,14,21.9,17.2
2020-02-13,15,13.4,17.3
2020-02-13,16,12.8,14.4
2020-02-13,17,15.2,18.3
2020-02-13,18,10.4,25.7
2020-02-13,19,22.1,32.2
2020-02-13,20,17.9,21.6
2020-02-13,21,11.8,18.5
2020-02-13,22,13.3,18.6
2020-02-13,23,17.9,16.8
2020-02-14,0,22.0,23.0
2020-02-14,1,25.8,44.3
2020-02-14,2,16.9,20.2
2020-02-14,3,15.0,18.4
2020-02-14,4,15.0,18.6
2020-02-14,5,15.1,20.8
2020-02-14,6,15.6,19.2
2020-02-14,7,14.1,16.5
2020-02-14,8,13.6,16.4
2020-02-14,9,18.0,25.4
2020-02-14,10,18.3,16.6
2020-02-14,11,30.8,22.1
2020-02-14,12,21.2,16.9
2020-02-14,13,22.6,14.6
2020-02-14,14,22.3,14.2
2020-02-14,15,22.5,13.6
2020-02-14,16,17.5,14.2
2020-02-14,17,16.0,16.1
2020-02-14,18,14.6,23.4
2020-02-14,19,8.4,17.5
2020-02-14,20,8.1,18.0
2020-02-14,21,20.2,40.7
2020-02-14,22,85.2,133.2
2020-02-14,23,62.9,132.4
2020-02-15,0,49.6,121.9
2020-02-15,1,41.5,112.2
2020-02-15,2,36.1,104.0
2020-02-15,3,30.3,84.4
2020-02-15,4,24.2,66.8
2020-02-15,5,20.2,49.9
2020-02-15,6,14.7,36.2
2020-02-15,7,37.8,55.8
2020-02-15,8,8.2,17.4
2020-02-15,9,4.3,11.4
2020-02-15,10,5.6,14.5
2020-02-15,11,2.6,8.3
2020-02-15,12,3.8,10.9
2020-02-15,13,21.5,13.9
2020-02-15,14,37.0,20.1
2020-02-15,15,30.2,16.4
2020-02-15,16,27.7,18.8
2020-02-15,17,27.7,20.2
2020-02-15,18,27.6,17.7
2020-02-16,16,10.1,22.9
2020-02-16,17,8.7,17.6
2020-02-16,18,8.9,20.5
2020-02-16,19,8.9,20.6
2020-02-16,20,9.2,21.3
2020-02-16,21,10.0,24.1
2020-02-16,22,8.2,20.2
2020-02-16,23,7.4,19.1
2020-02-17,0,8.7,22.5
2020-02-17,1,8.0,20.2
2020-02-17,2,8.2,19.7
2020-02-17,3,7.3,17.9
2020-02-17,4,8.0,19.0
2020-02-17,5,9.5,21.5
2020-02-17,6,4.6,11.6
2020-02-17,7,16.7,28.2
2020-02-17,8,22.3,40.7
2020-02-17,9,9.4,15.6
2020-02-17,10,10.5,13.2
2020-02-17,11,17.9,13.1
2020-02-17,12,19.1,11.0
2020-02-17,13,24.2,13.6
2020-02-17,14,19.9,11.4
2020-02-17,15,15.7,10.5
2020-02-17,16,23.2,13.2
2020-02-17,17,16.3,11.6
2020-02-17,18,18.0,11.0
2020-02-17,19,26.6,26.2
2020-02-17,20,18.5,15.8
2020-02-17,21,26.1,21.5
2020-02-17,22,31.5,22.2
2020-02-18,8,19.4,13.8
2020-02-18,9,29.4,16.2
2020-02-18,10,39.2,21.7
2020-02-18,11,40.9,23.6
2020-02-18,12,37.3,21.4
2020-02-18,13,36.6,22.4
2020-02-18,14,34.2,20.0
2020-02-18,15,47.2,25.2
2020-02-18,16,16.6,31.0
2020-02-18,17,18.9,26.1
2020-02-18,18,16.2,18.0
2020-02-18,19,17.0,17.8
2020-02-18,20,18.6,16.7
2020-02-18,21,24.1,18.5
2020-02-18,22,27.3,17.5
2020-02-18,23,32.4,19.2
2020-02-19,0,32.0,18.1
2020-02-19,1,31.0,17.8
2020-02-19,2,29.6,16.4
2020-02-19,3,27.1,14.9
2020-02-19,4,25.6,14.5
2020-02-19,5,24.3,14.9
2020-02-19,6,24.2,16.2
2020-02-19,7,23.5,14.7
2020-02-19,8,22.6,14.6
2020-02-19,9,21.6,13.4
2020-02-19,10,19.8,13.7
2020-02-19,11,18.9,12.6
2020-02-19,12,18.7,13.9
2020-02-19,13,17.7,13.9
2020-02-19,14,16.5,12.0
2020-02-19,15,16.4,12.7
2020-02-25,8,8.5,15.4
2020-02-25,9,22.2,14.0
2020-02-25,10,37.3,19.7
2020-02-25,11,35.3,19.3
2020-02-25,12,20.3,15.0
2020-02-25,13,38.9,21.7
2020-02-25,14,40.9,21.5
2020-02-25,15,49.4,25.9
2020-02-25,16,29.1,42.3
2020-02-25,17,14.6,31.7
2020-02-25,18,11.8,26.3
2020-02-25,19,24.0,36.6
2020-02-25,20,10.2,19.6
2020-02-25,21,9.6,19.1
2020-02-25,22,9.7,18.5
2020-02-25,23,9.8,17.7
2020-02-26,0,11.6,18.1
2020-02-26,1,12.8,16.2
2020-02-26,2,15.3,17.3
2020-02-26,3,18.0,14.7
2020-02-26,4,17.4,14.5
2020-02-26,5,15.6,12.9
2020-02-26,6,18.8,15.0
2020-02-26,7,26.5,33.1
2020-02-26,8,14.7,17.2
2020-02-26,9,17.4,13.8
2020-02-26,10,16.3,14.4
2020-02-26,11,19.6,13.9
2020-02-26,12,19.6,12.8
2020-02-26,13,22.8,26.2
2020-02-26,14,23.7,33.6
2020-02-26,15,27.1,71.4
2020-02-26,16,22.7,48.3
2020-02-26,17,38.4,34.6
2020-02-26,18,20.4,33.8
2020-02-26,19,19.3,33.0
2020-02-26,20,14.3,18.0
2020-02-26,21,14.5,18.1
2020-02-26,22,15.7,15.5
2020-02-26,23,15.9,16.4
2020-02-27,0,17.9,19.3
2020-02-27,1,19.2,18.0
2020-02-27,2,19.6,20.9
2020-02-27,3,16.4,17.2
2020-02-27,4,13.6,19.3
2020-02-27,5,13.3,27.8
2020-02-27,6,13.0,28.8
2020-02-27,7,13.9,30.5
2020-02-27,8,14.6,33.5
