date,region_unit,area,address,total_tests,positive_tests,male,female,median_age,lat,long,positivity
10/9/20,Περιφέρεια Αττικής,Πειραιάς,Δημοτικό θέατρο Πειραιά,770,4,2.0,2.0,49.5,37.9433016,23.6468891,0.5
11/24/20,Π.Ε. Κορινθίας,Κιάτο,Κιάτο,211,1,,45.0,,38.0126545,22.750171,0.5
11/20/20,Π.Ε. Σύρου,Ερμούπολη,"Ερμούπολη, Σύρος",280,1,,,43.0,37.4418105,24.9404242,0.4
10/30/20,Π.Ε. Αχαΐας,Πάτρα,Πάτρα,472,1,1.0,0.0,19.0,38.2466395,21.734574,0.2
10/30/20,Περιφέρεια Αττικής,Κύθηρα,Χώρα Κυθήρων & Ποταμός,492,1,1.0,0.0,46.0,36.1486877,22.9881921,0.2
12/6/20,Π.Ε. Ρόδου,Ρόδος,"Γεωργίου Παπανικολάου 1, ρόδος",51,0,,,,36.4526314,28.2228811,0.0
12/5/20,Π.Ε. Ρόδου,Ρόδος,"Φιλερήμου 29, Ρόδος",30,0,,,,36.4244547,28.2285477,0.0
12/3/20,Π.Ε. Πάρου,Πάρος,"Παροικιά, Πάρος",23,0,,,,37.0856432,25.1488318,0.0
12/2/20,Π.Ε. Λέσβου,Λέσβος,"Καλλονή, Λέσβος",133,0,,,,39.233118,26.2072301,0.0
12/7/20,Π.Ε. Σύρου,Ερμούπολη,"Ηρώων Πολυτεχνείου 19, Ερμούπολη, Σύρος",14,0,,,,37.4363713,24.935864,0.0
12/2/20,Π.Ε. Ρόδου,Ιαλυσσός,"Φερενίκης 3, Ιαλυσσός",58,0,,,,36.422006,28.15507,0.0
12/1/20,Π.Ε. Ρόδου,Ρόδος,"Κρεμαστή Ρόδου, Λεωφόρος Ελευθερίας",49,0,,,,36.4124591,28.1230716,0.0
12/5/20,Π.Ε. Πρέβεζας,Πρέβεζα,"Πλατεία Ανδρούτσου, Πρέβεζα",175,0,,,,38.9560664,20.7514488,0.0
12/1/20,Π.Ε. Πάρου,Νάουσα,"Νάουσα, Πάρος",64,0,,,,37.1235743,25.238722,0.0
12/4/20,Π.Ε. Ρόδου,Νότια Ρόδος,Κατταβιά και Απολλακιά Νότιας Ρόδου,75,0,,,,36.0665098,27.7879535,0.0
12/3/20,Π.Ε. Ρόδου,Ρόδος,"Καποδιστρίου και Αυστραλίας 1, Ρόδος",84,0,,,,36.4406419,28.2359142,0.0
11/20/20,Π.Ε. Ζακύνθου,Ζάκυνθος,Ζάκυνθος,43,0,,,,37.7870331,20.8998759,0.0
10/24/20,Π.Ε. Σάμου,Σάμος,Πνευματικό Κέντρο Μυτιληνιών Σάμου,71,0,,,,37.7272485,26.906703999999998,0.0
11/13/20,Π.Ε. Ρόδου,Ρόδος,oδός Αγίων Αποστόλων έξω από το Γ.Ν. Ρόδου,28,0,,,,36.4180307,28.192961699999998,0.0
11/19/20,Π.Ε. Αργολίδας,Ναύπλιο,Ναύπλιο,163,0,,,,37.56731729999999,22.801553100000003,0.0
11/23/20,Π.Ε. Αργολίδας,Αργολίδα,"Λυγουριό, Αργολίδα",77,0,,,,37.6123892,23.0358834,0.0
11/23/20,Π.Ε. Πάρου,Αντίπαρος,Δημοτικό parking Αντιπάρου,48,0,,,,37.0404511,25.0792165,0.0
11/23/20,Π.Ε. Αχαϊας,Κάτω Αχαϊά,Κάτω Αχαΐα,166,0,,,,38.143032,21.5520979,0.0
11/23/20,Π.Ε. Γρεβενών,Γρεβενά,"Δεσκάτη, Γρεβενών",34,0,,,,39.9257032,21.8101429,0.0
11/23/20,Π.Ε. Ηλείας,Ηλεία,"Οδός Πατρών 74, Ηλεία",97,0,,,,37.677032,21.4303075,0.0
11/17/20,Π.Ε. Λακωνίας,Γύθειο,Δημαρχείο Γυθείου,178,0,0.0,0.0,,36.7603153,22.5659961,0.0
11/23/20,Π.Ε. Κοζάνης,Κοζάνη,"Νιάημερος, Κοζάνη",85,0,,,,40.3115839,21.7826677,0.0
11/16/20,Π.Ε. Άνδρου,Άνδρος,Μπατσί,58,0,,,,37.8560041,24.7863753,0.0
11/24/20,Π.Ε. Άνδρου,Κόρθι,"Κόρθι, Άνδρου",51,0,,,,37.7507674,24.9279547,0.0
11/16/20,Π.Ε. Ρόδου,Ρόδος,"Κρεμαστή Ρόδου, Λ. Ηρακλειδών",24,0,,,,36.4169551,28.166694800000002,0.0
11/24/20,Π.Ε. Μεσσηνίας,Καλαμάτα,Μέγαρο Χορού Καλαμάτας,174,0,,,,37.039846000000004,22.107504300000002,0.0
11/13/20,Π.Ε. Λακωνίας,Αρεόπολη,Αερόπολη,61,0,,,,36.6660079,22.3805151,0.0
11/25/20,Π.Ε. Άνδρου,Άνδρος,Χώρα Άνδρου,27,0,,,,37.8380382,24.9391268,0.0
11/28/20,Π.Ε. Σύρου,Ερμούπολη,"Ηρώων Πολυτεχνείου Ερμούπολη, Σύρος",101,0,,,,37.4338619,24.9352977,0.0
11/25/20,Π.Ε. Αργολίδας,Αργολίδα,3ο χλμ Οδός Ναυπλίου-Άργους Ν. Τίρυνθα,76,0,,,,37.5995263,22.7995951,0.0
11/25/20,Π.Ε. Ηλείας,Αμαλιάδα,"Αμαλιάδα, Ηλεία",67,0,,,,37.7967917,21.3507581,0.0
11/12/20,Π.Ε. Λακωνίας,Αρεόπολη,Επαρχιακή Οδό Αρεόπολης-Γερολιμένα,61,0,,,,36.579241700000004,22.4024825,0.0
11/12/20,Π.Ε. Ρόδου,Ρόδος,5ο χλμ Ρόδου-Λίνδου,28,0,,,,36.296940899999996,28.1648456,0.0
11/12/20,Π.Ε. Άνδρου,Άνδρος,"Γαύριο, λιμάνι",59,0,,,,37.824471,24.8237517,0.0
11/6/20,Π.Ε. Αχαΐας,Πάτρα,"Πλατεία Δημοκρατίας, Πάτρα",134,0,,,,38.2033835,21.7355462,0.0
11/25/20,Π.Ε. Πάρου,Νάουσα,"Νάουσα, Πάρος",145,0,,,,37.1235743,25.238722,0.0
11/25/20,Π.Ε. Ρόδου,Ρόδος,Κεντρική Οδός-Πλατεία Αφάντου,85,0,,,,36.2958917,28.1631668,0.0
10/31/20,Π.Ε. Ρόδου,Ρόδος,"Λάρδος, Ασκληπιό, Καταβιά",82,0,,,,36.0943185,28.0170529,0.0
11/26/20,Π.Ε. Κορινθίας,Δήμος Βέλου - Βόχας,"Αγίας Μαρίνης 110, Δήμος Βέλου - Βόχας",110,0,,,,37.976112,22.7592908,0.0
10/24/20,Π.Ε. Ρόδου,Ρόδος,"Πεζόδρομος Ακταίον, Ρόδος",149,0,,,,36.449141999999995,28.224773,0.0
11/28/20,Π.Ε. Κορίνθου,Κόρινθος,"Ζευγολατιό, Σπύρου Κωκώνη 2, Κόρινθος",102,0,,,,37.94124,22.800279999999997,0.0
11/28/20,Π.Ε. Πάρου,Παροικιά,"Παροικιά, Πάρος",116,0,,,,37.069720000000004,25.209310000000002,0.0
10/24/20,Π.Ε. Νάξου,Νάξος,Φιλότι Νάξου,82,0,,,,37.0514525,25.4982396,0.0
