unique_code,price,AREA_SIZE,calculated_sqm,x,y,price_per_sqm
9451Η-Π1Κ,1995.2,49.821000000000005,84.06398688620021,2208684.6636000015,4822750.748400003,40.0
945ΔΩΚΦ-Π5Ν,1560.96,86.721,138.2105453319853,2547438.3104999997,4513207.604500003,18.0
945Ε46ΜΦΟΤ-ΘΟΔ,3615.84,301.321,481.515088465083,2996472.979200002,4535107.553499997,12.0
945ΧΗ-2ΞΑ,3466.64,407.841,711.0055804844645,2638834.8341999985,4969890.758500002,8.0
9477Η-Π67,3391.3,197.62,316.62386945093954,2993480.8105999995,4548332.94455,17.0
949ΙΗ-2ΦΝ,693.2772,25.01,37.549396825288966,2715347.905099999,4189786.922200002,28.0
949ΛΩΗ6-ΟΧΛ,5581.71,1026.0,795.7947201698744,2799147.12665,4527395.391200002,5.0
949ΜΗ-74Γ,1380.0,100.0,156.67602370045014,2474207.2184000015,4424321.320100002,14.0
94Γ6Η-ΚΚ1,1440.0,120.0,187.44828867107435,2512907.1449999996,4408565.702799998,12.0
94ΔΛΩΛΣ-ΚΤΟ,3400.0,340.0,512.7115542479374,2790598.8773999996,4209982.369900003,10.0
94ΕΘΗ-ΥΓΛ,828.0,60.0,93.74121715315653,2511663.8825000003,4401726.875399999,14.0
94ΗΘΩ6Τ-ΙΣ7,5494.5,407.0,610.9866320270061,2716016.1055000015,4189326.090999998,14.0
94ΙΙΗ-ΟΦΦ,6462.906999999999,200.09,301.8061234494602,2727259.9945,4213992.845299996,32.0
94ΙΜΗ-Β6Ω,637.0,98.0,174.81098519583537,2827434.968800001,4206461.993900001,6.0
94Λ7Η-07Ν,1242.0,20.0,33.39011678124595,2270307.7540999986,4762675.247100003,62.0
94ΛΒΗ-Ι1Λ,2566.6666666666665,15.0,23.959257144315902,2372048.1840000004,4540724.820799999,171.0
94ΛΩΗ-7ΛΥ,4317.6,107.951,181.8326327026117,2213595.460000001,4813176.600299999,40.0
94ΜΚΩΚΝ-ΗΨΕ,2625.0,350.0,552.0397252993273,2548577.610100001,4459968.534000002,8.0
94ΝΤΗ-61Ρ,777.0,37.0,55.74740420218613,2845913.554200001,4207429.948100001,21.0
94ΟΥ46ΜΦΟ8-789,1189.0,118.901,190.18079361289443,2969937.227000002,4538342.377099998,10.0
94Π8ΩΗ6-0ΟΩ,1197.0,420.0,669.5853497766265,2807378.787999999,4513741.976800002,3.0
94Τ6Η-ΦΕΖ,1875.0,500.0,827.5983177691853,2305403.4398999996,4727566.707900003,4.0
94ΤΡ46Ν0Ω3-57Ω,2498.0,578.1,930.048812834666,2673852.0086999983,4561564.804799996,4.0
94Χ6ΩΗ6-ΤΓΣ,579.41,44.571000000000005,70.93197767373918,2798528.5055,4516351.051299997,13.0
